"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Threshold Road Run 15, 15 Minutes","Run","Threshold pace = 10-15km race pace/max effort pace you could sustain for 60min (therefore NOT a sprint). It should be comfortably hard (7/10 RPE) Threshold runs are great to help you become more efficient at faster paces, increases your lactate clearance rate, improves your endurance, fitness and metabolic efficiency.","1.08333333333333","","2025-06-10","","15540.8095703125","442","561","1794.066","","1.12762081623077","3.82800006866455","","172","","147","169","","","0.884154413466999","97.93","24","23","23","0","0","","","","","","0","0","0","0","0","67","","","","","6","3"
"Easy Effort Trail Run + 10 x 10 sec Strides (30 rest between)","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","1.61111111111111","","2025-06-11","","17195.669921875","349","578","2028.514","","1.61261415481567","2.96199989318848","","165","","141","164","","","0.675493816943027","82.49","46","40","18","0","0","","","","","","1","2","2","10","10","71","","","","","3","5"
"Threshold Climb 3 x 8 min","Run","Find a hill that will allow for consistent running for 8 min. On the run down - the time is relatively short so you won't be able to get back to your start point in time. So pick a long enough climb to allow for consistent running up. Good spots: - Glen beach - Lions Head - Constantia Nek - Vredehoek - Blockhouse - Chapmans Peak Hike start - Noordhoek Peak - Silvermine gate - Noorhoek Peak - Tokai - Constantiaberg - Up Saaltjie - Mont Rochelle Gate to Du Toits","0.933333333333333","","2025-06-12","","10000","359","443","1293.822","","1.00043284893036","2.77699995040894","","163","","155","176","","","0.767431397518981","65.28","10","22","21","12","0","","","","","","0","0","0","0","1","59","","","","","7","7"
"Easy Effort Trail Run + 10 x 10 sec Strides (30 rest between)","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","1.11111111111111","","2025-06-13","","13400","370","465","1482.11","","1.1119692325592","3.34699988365173","","163","","145","159","","","0.688210295327706","58.51","20","44","6","0","0","","","","","","0","0","0","0","0","66","","","","","3","5"
"Long Trail Run (Vert Focus)","Run","Look for long, sustained climbs with significant vertical gain where possible. (i.e. platteklip, devils peak, Newlands Ravine, nursery ravine, Constania Nek, Constantiaberg, etc.) Ideally >500m+ or as much vertical gain per kilometre as the event you are training for e.g. UTCT 55km has 49m+ per km so in a 20km long run you want to get ±980m+","4","","2025-06-14","","30031.30078125","281","645","3690.102","","3.64591193199158","2.28800010681152","","142","","149","169","","","0.713563960971095","212.4","64","73","94","0","0","","","","","","26","13","19","38","27","96","","","","","",""
"Rest Day","Day Off","Allows you to recover and promotes adaptation to the training load and stresses. It also helps prevent fatigue and keeps you injury free. Focus on: nutrition, sleep, feet up!","","","2025-06-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Run","","","","2025-06-16","","15734.76953125","394","575","2127.391","","1.50098502635956","2.91199994087219","","165","","135","155","","","0.62940490158458","66.55","64","28","0","0","0","","","","","","0","1","1","2","9","77","","","","","",""
"Threshold Climb 3 x 15 min","Run","Find a hill that will allow for consistent running for 15min. On the run down - the time is relatively short so you won't be able to get back to your start point in time. So pick a long enough climb to allow for consistent running up. Good spots: - Glen beach - Lions Head - Constantia Nek - Vredehoek - Blockhouse - Chapmans Peak Hike start - Noordhoek Peak - Silvermine gate - Noorhoek Peak - Tokai - Constantiaberg - Up Saaltjie - Mont Rochelle Gate to Du Toits","1.5","","2025-06-17","","15123.4697265625","394","728","2145.331","","1.51133751869202","2.77999997138977","","165","","145","167","","","0.702777653147331","83.54","43","12","39","0","0","","","","","","0","2","5","10","12","62","","","","","5","5"
"","Run","","","","2025-06-18","","10369.9404296875","335","572","1256.369","","1.04160249233246","2.76500010490417","","161","","139","156","","","0.655039319293444","49.56","32","32","1","0","0","","","","","","2","1","2","10","9","38","","","","","",""
"Rest Day","Day Off","Allows you to recover and promotes adaptation to the training load and stresses. It also helps prevent fatigue and keeps you injury free. Focus on: nutrition, sleep, feet up!","","","2025-06-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - Breakfast Returns on Greater London Flat in London","Bike","","","","2025-06-20","","33027.0390625","190","335","690.899","","1.00666666030884","9.11299991607666","","91","","129","158","","","0.89315389595904","79.75","37","22","4","0","0","","","","","","25","19","1","1","1","15","","","","","",""
"Easy Effort Trail Run + 10 x 10 sec Strides (30 rest between)","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","1.61111111111111","","2025-06-21","","17019.66015625","396","580","2312.487","","1.62314164638519","2.91300010681152","","165","","138","158","","","0.646792047825761","76.13","63","34","6","0","0","","","","","","0","1","1","3","9","83","","","","","3","5"
"Long Trail Run (Vert Focus)","Run","Look for long, sustained climbs with significant vertical gain where possible. (i.e. platteklip, devils peak, Newlands Ravine, nursery ravine, Constania Nek, Constantiaberg, etc.) Ideally >500m+ or as much vertical gain per kilometre as the event you are training for e.g. UTCT 55km has 49m+ per km so in a 20km long run you want to get ±980m+","4.5","","2025-06-22","","28562.310546875","278","669","3546.973","","3.54520511627197","2.23799991607666","","143","","138","171","","","0.646184673841298","169.26","128","77","18","0","0","","","","","","25","14","19","33","27","94","","","","","4",""
"Zwift - Aerobic Sustainability on Tempus Fugit in Watopia","Bike","","","","2025-06-23","","30490.4609375","182","323","581.216","","0.887222230434418","9.54599952697754","","84","","120","134","","","0.762382566583559","51.08","53","0","0","0","0","","","","","","11","6","32","5","0","0","","","","","",""
"Threshold Climb 3 x 15 min","Run","Find a hill that will allow for consistent running for 15min. On the run down - the time is relatively short so you won't be able to get back to your start point in time. So pick a long enough climb to allow for consistent running up. Good spots: - Glen beach - Lions Head - Constantia Nek - Vredehoek - Blockhouse - Chapmans Peak Hike start - Noordhoek Peak - Silvermine gate - Noorhoek Peak - Tokai - Constantiaberg - Up Saaltjie - Mont Rochelle Gate to Du Toits","1.41666666666667","","2025-06-24","","15215.5302734375","396","754","2169.948","","1.51872134208679","2.78299999237061","","166","","147","170","","","0.718459416834716","87.78","41","10","42","2","0","","","","","","1","2","5","10","11","62","","","","","6","5"
"Rest Day","Day Off","Allows you to recover and promotes adaptation to the training load and stresses. It also helps prevent fatigue and keeps you injury free. Focus on: nutrition, sleep, feet up!","","","2025-06-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Trail Run + 10 x 10 sec Strides (30 rest between)","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","1.61111111111111","","2025-06-26","","17007.390625","345","632","2036.637","","1.63773453235626","2.88499999046326","","164","","141","161","","","0.650082150642043","77.62","57","43","4","0","0","","","","","","4","1","5","8","10","69","","","","","3","5"
"8 x 1000m at 10km Race Pace","Run","Warm up: 2 km 8 x 1000 m at 10 km race pace 2 min rest Cool down: 2 km","1.33166666666667","15856","2025-06-27","","15071.8095703125","374","640","1653.224","","1.22671329975128","3.41300010681152","","160","","144","175","","","0.840552072451615","96.52","32","17","20","10","0","","","","","","15","0","0","0","0","58","","","","","7","5"
"Long Trail Run (Vert Focus)","Run","Look for long, sustained climbs with significant vertical gain where possible. (i.e. platteklip, devils peak, Newlands Ravine, nursery ravine, Constania Nek, Constantiaberg, etc.) Ideally >500m+ or as much vertical gain per kilometre as the event you are training for e.g. UTCT 55km has 49m+ per km so in a 20km long run you want to get ±980m+","5","","2025-06-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Trail Run + 10 x 10 sec Strides (30 rest between)","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","1.61111111111111","","2025-06-30","","17095.30078125","344","518","1999.665","","1.61239397525787","2.9449999332428","","163","","142","157","","","0.65485032252397","77.51","51","49","6","0","0","","","","","","2","1","3","11","10","69","","","","","3","5"
"Threshold Climb 3 x 15 min","Run","Find a hill that will allow for consistent running for 15min. On the run down - the time is relatively short so you won't be able to get back to your start point in time. So pick a long enough climb to allow for consistent running up. Good spots: - Glen beach - Lions Head - Constantia Nek - Vredehoek - Blockhouse - Chapmans Peak Hike start - Noordhoek Peak - Silvermine gate - Noorhoek Peak - Tokai - Constantiaberg - Up Saaltjie - Mont Rochelle Gate to Du Toits","1.41666666666667","","2025-07-01","","15533.009765625","403","749","2209.201","","1.52281749248505","2.83299994468689","","165","","149","176","","","0.724284941569683","89.43","41","8","37","10","0","","","","","","1","2","6","10","11","61","","","","","5","5"
"Easy Effort Trail Run + 10 x 10 sec Strides (30 rest between)","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","1.11111111111111","","2025-07-02","","11359.1298828125","340","558","1363.94","","1.11423051357269","2.83200001716614","","163","","138","159","","","0.654737912829638","53.05","38","30","2","0","0","","","","","","2","2","2","10","8","43","","","","","3","5"
"5 x 1600m at 10km Race Pace","Run","2 km Warm Up 5 x 1600 m at 10 km Race Pace 2:30 min Rest 2 km Cool Down","1.18194444444444","14450","2025-07-03","","14478.0498046875","400","698","1619.256","","1.12328696250916","3.57999992370605","","162","","140","173","","","0.838680496798171","87.81","38","5","24","2","0","","","","","","8","4","0","0","0","55","","","","","7","5"
"Easy Effort Ride","Bike","","1.5","","2025-07-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run + Steady state surging","Run","Long run with some steady state tempo efforts in the middle. Effort should be at goal race pace and should be comfortably hard. Try to find rolling terrain or terrain that will replicate that of the race you are preparing for.","3.5","","2025-07-05","","30016.9296875","289","882","3691.934","","3.55180668830872","2.34800004959106","","143","","143","166","","","0.674391385959739","184.7","104","69","50","0","0","","","","","","27","16","16","23","24","108","","","","","3","5"
"Easy Effort Trail Run + 10 x 10 sec Strides (30 rest between)","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","1.61111111111111","","2025-07-06","","11510.919921875","336","582","1406.917","","1.16250216960907","2.75099992752075","","163","","131","152","","","0.622969578383476","50.17","55","16","0","0","0","","","","","","1","1","6","9","9","44","","","","","",""
"Strength 2","Strength","Notes: Rest 45s between sets. Men - 12kg Kettlebell, Ladies - 8kg Kettlebell WU - 10 x bodyweight squats x 4 sets. Session: - Kettlebell Single Leg Deadlift x 8 reps each leg, 3 sets link - https://drive.google.com/file/d/1R6-yEaqhnGW_AkAqyEoFDDa_ZX-fQ8I2/view?usp=sharing - Kettlebell Bulgarian Split Squat x 8 reps each leg, 3 sets link -https://drive.google.com/file/d/1pq_dbAwyswDAavCYOZC4SUb_5IKkmJOf/view?usp=sharing- Single Leg Step Up (bodyweight) x 10 reps each leg, 3 sets link - https://drive.google.com/file/d/1-rM6F9vcy2Gt_fVVJviv76PGaNHQN8Ee/view?usp=sharing- Alternating Jump Lunges (bodyweight) x 12 reps, 3 sets link - https://drive.google.com/file/d/1hVbWq8AdUjRfV-8vgV3pzKpKMjgRFCRk/view?usp=sharing- Side Bridge Glute Hip Abductions (bodyweight) x 15 reps each leg, 3 sets. link - https://drive.google.com/file/d/1J4AS8GYEkYkq0z5OE5N1vxoa-gjEVc0B/view?usp=sharing Core ( Do each exercise back to back, then repeat for 3 sets): - Alternating toe taps x 12 - https://drive.google.com/file/d/1bFNnPkh6OGqNgtMSho1EVCTj3MIGBvod/view?usp=sharing - Leg Raises x 12 - https://drive.google.com/file/d/1UZlOU6AJBs7FLaaQwVZZs7u3rN9wdZoC/view?usp=sharing- Reptiles x 12 -https://drive.google.com/file/d/1SONVhbdREMiSQcEFmfIRmodqJf16alK6/view?usp=sharing","0.833333333333333","","2025-07-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5km Threshold Climb x 2","Run","5 km tempo effort climb and easy recover down Use one of the routes below: Constantia Neck: https://www.plotaroute.com/route/560548 Camps Bay: https://www.plotaroute.com/route/577913","2","20000","2025-07-08","","20058.830078125","384","606","2439.558","","1.76280498504639","3.16100001335144","","167","","152","177","","","0.742349139948976","109.18","41","14","33","24","0","","","","","","1","3","9","15","11","67","","","","","7","5"
"Easy Effort Trail Run + 10 x 10 sec Strides (30 rest between)","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","1.36111111111111","","2025-07-09","","13348.6396484375","331","554","1620.407","","1.361412525177","2.72399997711182","","161","","134","152","","","0.626671335406774","59.68","60","25","0","0","0","","","","","","3","1","2","14","16","47","","","","","3","5"
"Threshold Road Run 15, 15 Minutes","Run","Threshold pace = 10-15km race pace/max effort pace you could sustain for 60min (therefore NOT a sprint). It should be comfortably hard (7/10 RPE) Threshold runs are great to help you become more efficient at faster paces, increases your lactate clearance rate, improves your endurance, fitness and metabolic efficiency.","0.833333333333333","","2025-07-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Ride","Bike","","1","","2025-07-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Trail Run with 30s Surges","Run","The idea is to surge for short amounts of time throughout your run. These surges will help to simulate the challenges you may face during a race due to changes in terrain or accelerations from your competition. Surges should be at a challenging but controlled effort. Think 10km/21km race pace.","2","","2025-07-12","","21583.580078125","357","547","2579.315","","2.00268578529358","2.99399995803833","","164","","143","164","","","0.758532078896208","129.89","55","52","19","0","0","","","","","","1","1","4","13","17","84","","","","","3","5"
"Easy Effort Trail Run + 10 x 10 sec Strides (30 rest between)","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","1.11111111111111","","2025-07-13","","10867.2197265625","348","567","1308.058","","1.04473614692688","2.88899993896484","","164","","137","153","","","0.643569530235547","47.99","39","25","0","0","0","","","","","","2","0","2","9","8","41","","","","","3","5"
"Rest Day","Day Off","Allows you to recover and promotes adaptation to the training load and stresses. It also helps prevent fatigue and keeps you injury free. Focus on: nutrition, sleep, feet up!","","","2025-07-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Progression Run 2, 12 km","Run","","0.842777777777778","12000","2025-07-15","","12014.669921875","434","511","1299.015","","0.83111560344696","4.01599979400635","","174","","154","173","","","0.935927536514923","80.3","7","19","20","6","0","","","","","","0","0","0","0","0","50","","","","","5","5"
"Recovery Trail Run","Run","Recovery runs are very easy effort runs that are noticeably slower than your other runs. They are intended to enhance recovery, stimulate blood flow and prepare you for your next work out. Going too hard on these runs increases the risk of injury and means you will not be able to get the most out of your hard sessions to come. Keep the easy days easy so you can run the hard days hard.","0.75","","2025-07-16","","8020.72021484375","357","726","979.688","","0.763054192066193","2.92000007629395","","165","","138","159","","","0.663182612292152","36.93","25","20","3","0","0","","","","","","0","0","2","7","6","31","","","","","2","5"
"Rest Day","Day Off","Allows you to recover and promotes adaptation to the training load and stresses. It also helps prevent fatigue and keeps you injury free. Focus on: nutrition, sleep, feet up!","","","2025-07-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pre Race Shake Out + 5 x 10 sec Strides (30 sec rest between)","Run","An easy effort run to keep the legs loose and ready to race , also helps shake out any stiffness from travel to race location. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","0.555555555555556","","2025-07-18","","6869.14990234375","375","533","749.848","","0.555999994277954","3.43199992179871","","165","","139","156","","","0.635911661998935","24.54","26","9","1","0","0","","","","","","0","0","0","0","0","33","","","","","2","5"
"Pre Race Warm Up Run + 3 x 10 sec Strides","Run","Slowly build the effort of the warm up towards threshold pace for the last minute then perform your strides. Try to complete this warm up 15 minutes before the start.","0.283333333333333","","2025-07-19","","1005.05999755859","352","427","108.205","","0.0850458368659019","3.28299999237061","","166","","144","152","","","0.701760879964308","4.36","1","4","0","0","0","","","","","","0","0","0","0","0","5","","","","","2","5"
"Trail Running","Run","","","","2025-07-19","","48653.1484375","285","568","5991.76","","5.83739137649536","2.31500005722046","","144","","166","175","","","0.816138131826281","450.16","1","21","262","182","0","","","","","","56","19","16","42","48","170","","","","","",""
"Rest Day","Day Off","Allows you to recover and promotes adaptation to the training load and stresses. It also helps prevent fatigue and keeps you injury free. Focus on: nutrition, sleep, feet up!","","","2025-07-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rest Day","Day Off","Allows you to recover and promotes adaptation to the training load and stresses. It also helps prevent fatigue and keeps you injury free. Focus on: nutrition, sleep, feet up!","","","2025-07-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rest Day","Day Off","Allows you to recover and promotes adaptation to the training load and stresses. It also helps prevent fatigue and keeps you injury free. Focus on: nutrition, sleep, feet up!","","","2025-07-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rest Day","Day Off","Allows you to recover and promotes adaptation to the training load and stresses. It also helps prevent fatigue and keeps you injury free. Focus on: nutrition, sleep, feet up!","","","2025-07-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recovery Trail Run","Run","Recovery runs are very easy effort runs that are noticeably slower than your other runs. They are intended to enhance recovery, stimulate blood flow and prepare you for your next work out. Going too hard on these runs increases the risk of injury and means you will not be able to get the most out of your hard sessions to come. Keep the easy days easy so you can run the hard days hard.","0.75","","2025-07-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - Zone 2 #1 on Scotland Smash in Scotland","Bike","","","","2025-07-26","","30301.4609375","165","241","598.538","","1.00666666030884","8.36100006103516","","86","","120","135","","","0.679624718718267","46.25","60","0","0","0","0","","","","","","10","45","5","1","0","0","","","","","",""
"Recovery Trail Run","Run","Recovery runs are very easy effort runs that are noticeably slower than your other runs. They are intended to enhance recovery, stimulate blood flow and prepare you for your next work out. Going too hard on these runs increases the risk of injury and means you will not be able to get the most out of your hard sessions to come. Keep the easy days easy so you can run the hard days hard.","0.5","","2025-07-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rest Day","Day Off","Allows you to recover and promotes adaptation to the training load and stresses. It also helps prevent fatigue and keeps you injury free. Focus on: nutrition, sleep, feet up!","","","2025-07-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - Back to Basics on R.G.V. in France","Bike","","","","2025-07-28","","35276.7890625","179","277","705.772","","1.08944439888","8.99400043487549","","84","","122","149","","","0.792355817996572","67.92","61","5","0","0","0","","","","","","28","4","16","16","1","0","","","","","",""
"Easy Effort Trail Run","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard.","1","","2025-07-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Ride","Bike","","1","","2025-07-30","","39062.91015625","181","310","817.121","","1.25027775764465","8.67800045013428","","87","","126","161","","","0.833171779709531","86.16","59","12","5","0","0","","","","","","37","15","0","13","9","0","","","","","",""
"Zwift - Melange on London 8 in London","Bike","","","","2025-07-31","","41562.98828125","176","332","954.277","","1.50388884544373","7.67600011825562","","88","","131","157","","","0.761354803262872","86.81","71","20","2","0","0","","","","","","28","36","11","12","1","2","","","","","",""
"Rest or Cross Train","Day Off","This is a good day for resting or doing some active recovery. You could do some recovery effort cycling, hiking, walking, yoga, swimming etc. Keep it light and easy :)","","","2025-08-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-08-01","","10010.2900390625","379","486","1104.692","","0.809583306312561","3.43499994277954","","164","","142","155","","","0.797986978805248","56.8","23","28","0","0","0","","","","","","0","0","0","0","0","48","","","","","",""
"Long Trail Run (Vert Focus)","Run","Look for long, sustained climbs with significant vertical gain where possible. (i.e. platteklip, devils peak, Newlands Ravine, nursery ravine, Constania Nek, Constantiaberg, etc.) Ideally >500m+ or as much vertical gain per kilometre as the event you are training for e.g. UTCT 55km has 49m+ per km so in a 20km long run you want to get ±980m+","2","","2025-08-02","","11149.41015625","353","564","1328.811","","1.0438060760498","2.96700000762939","","166","","143","161","","","0.691404769081707","55.34","27","21","18","0","0","","","","","","0","0","2","12","8","40","","","","","",""
"Easy Effort Ride","Bike","","1","","2025-08-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rest or Cross Train","Day Off","This is a good day for resting or doing some active recovery. You could do some recovery effort cycling, hiking, walking, yoga, swimming etc. Keep it light and easy :)","","","2025-08-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - Get It Done on Scotland Smash in Scotland","Bike","","","","2025-08-04","","30925.25","171","589","620.592","","1.00416672229767","8.55399990081787","","88","","115","150","","","0.758565077468616","57.18","59","1","0","0","0","","","","","","16","28","14","1","1","1","","","","","",""
"Zwift - Following The Efforts on Suki's Playground in Makuri Islands","Bike","","","","2025-08-05","","31815.220703125","184","322","667.425","","1.00750005245209","8.77099990844727","","88","","123","146","","","0.794460906774227","62.93","60","1","0","0","0","","","","","","18","12","23","1","6","0","","","","","",""
"Easy Effort Trail Run + 10 x 10 sec Strides (30 rest between)","Run","Easy effort runs are the bread and butter of your training. They are harder than recovery runs, but easier than threshold and are intended to boost your overall aerobic endurance by increasing the volume of your training safely. You should be able to do a hard session the next day, if not - you're running these too hard. Strides are shorts sprints at 90% effort, not flat out, to improve leg turnover. Run these on a flat surface, road or grass.","1.11111111111111","","2025-08-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
